Sex,Industry of Employment,Region,Value
Females,Arts and Recreation Services,Thornbury,164
Males,Other Services,Thornbury,159
Females,Other Services,Thornbury,158
Males,Inadequately described and not stated,Thornbury,250
Females,Inadequately described and not stated,Thornbury,157
Males,"Agriculture, Forestry and Fishing",Ascot Vale,12
Females,"Agriculture, Forestry and Fishing",Ascot Vale,7
Males,Mining,Ascot Vale,15
Females,Mining,Ascot Vale,10
Males,Manufacturing,Ascot Vale,276
Females,Manufacturing,Ascot Vale,116
Males,"Electricity, Gas, Water and Waste Services",Ascot Vale,54
Females,"Electricity, Gas, Water and Waste Services",Ascot Vale,29
Males,Construction,Ascot Vale,378
Females,Construction,Ascot Vale,64
Males,Wholesale Trade,Ascot Vale,114
Females,Wholesale Trade,Ascot Vale,88
Males,Retail Trade,Ascot Vale,271
Females,Retail Trade,Ascot Vale,328
Males,Accommodation and Food Services,Ascot Vale,244
Females,Accommodation and Food Services,Ascot Vale,223
Males,"Transport, Postal and Warehousing",Ascot Vale,237
Females,"Transport, Postal and Warehousing",Ascot Vale,116
Males,Information Media and Telecommunications,Ascot Vale,114
Females,Information Media and Telecommunications,Ascot Vale,89
Males,Financial and Insurance Services,Ascot Vale,238
Females,Financial and Insurance Services,Ascot Vale,224
Males,"Rental, Hiring and Real Estate Services",Ascot Vale,65
Females,"Rental, Hiring and Real Estate Services",Ascot Vale,58
Males,"Professional, Scientific and Technical Services",Ascot Vale,512
Females,"Professional, Scientific and Technical Services",Ascot Vale,424
Males,Administrative and Support Services,Ascot Vale,136
Females,Administrative and Support Services,Ascot Vale,149
Males,Public Administration and Safety,Ascot Vale,245
Females,Public Administration and Safety,Ascot Vale,268
Males,Education and Training,Ascot Vale,264
Females,Education and Training,Ascot Vale,531
Males,Health Care and Social Assistance,Ascot Vale,233
Females,Health Care and Social Assistance,Ascot Vale,723
Males,Arts and Recreation Services,Ascot Vale,174
Females,Arts and Recreation Services,Ascot Vale,137
Males,Other Services,Ascot Vale,89
Females,Other Services,Ascot Vale,124
Males,Inadequately described and not stated,Ascot Vale,143
Females,Inadequately described and not stated,Ascot Vale,102
Males,"Agriculture, Forestry and Fishing",Essendon - Aberfeldie,28
Females,"Agriculture, Forestry and Fishing",Essendon - Aberfeldie,19
Males,Mining,Essendon - Aberfeldie,19
Females,Mining,Essendon - Aberfeldie,9
Males,Manufacturing,Essendon - Aberfeldie,565
Females,Manufacturing,Essendon - Aberfeldie,252
Males,"Electricity, Gas, Water and Waste Services",Essendon - Aberfeldie,78
Females,"Electricity, Gas, Water and Waste Services",Essendon - Aberfeldie,28
Males,Construction,Essendon - Aberfeldie,949
Females,Construction,Essendon - Aberfeldie,159
Males,Wholesale Trade,Essendon - Aberfeldie,254
Females,Wholesale Trade,Essendon - Aberfeldie,171
Males,Retail Trade,Essendon - Aberfeldie,606
Females,Retail Trade,Essendon - Aberfeldie,823
Males,Accommodation and Food Services,Essendon - Aberfeldie,494
Females,Accommodation and Food Services,Essendon - Aberfeldie,458
Males,"Transport, Postal and Warehousing",Essendon - Aberfeldie,549
