Sex,Industry of Employment,Region,Value
Females,Inadequately described and not stated,Bright - Mount Beauty,46
Males,"Agriculture, Forestry and Fishing",Chiltern - Indigo Valley,70
Females,"Agriculture, Forestry and Fishing",Chiltern - Indigo Valley,33
Males,Mining,Chiltern - Indigo Valley,3
Females,Mining,Chiltern - Indigo Valley,0
Males,Manufacturing,Chiltern - Indigo Valley,147
Females,Manufacturing,Chiltern - Indigo Valley,48
Males,"Electricity, Gas, Water and Waste Services",Chiltern - Indigo Valley,9
Females,"Electricity, Gas, Water and Waste Services",Chiltern - Indigo Valley,0
Males,Construction,Chiltern - Indigo Valley,93
Females,Construction,Chiltern - Indigo Valley,11
Males,Wholesale Trade,Chiltern - Indigo Valley,27
Females,Wholesale Trade,Chiltern - Indigo Valley,11
Males,Retail Trade,Chiltern - Indigo Valley,60
Females,Retail Trade,Chiltern - Indigo Valley,105
Males,Accommodation and Food Services,Chiltern - Indigo Valley,24
Females,Accommodation and Food Services,Chiltern - Indigo Valley,45
Males,"Transport, Postal and Warehousing",Chiltern - Indigo Valley,85
Females,"Transport, Postal and Warehousing",Chiltern - Indigo Valley,19
Males,Information Media and Telecommunications,Chiltern - Indigo Valley,11
Females,Information Media and Telecommunications,Chiltern - Indigo Valley,3
Males,Financial and Insurance Services,Chiltern - Indigo Valley,4
Females,Financial and Insurance Services,Chiltern - Indigo Valley,20
Males,"Rental, Hiring and Real Estate Services",Chiltern - Indigo Valley,6
Females,"Rental, Hiring and Real Estate Services",Chiltern - Indigo Valley,11
Males,"Professional, Scientific and Technical Services",Chiltern - Indigo Valley,21
Females,"Professional, Scientific and Technical Services",Chiltern - Indigo Valley,28
Males,Administrative and Support Services,Chiltern - Indigo Valley,23
Females,Administrative and Support Services,Chiltern - Indigo Valley,15
Males,Public Administration and Safety,Chiltern - Indigo Valley,57
Females,Public Administration and Safety,Chiltern - Indigo Valley,77
Males,Education and Training,Chiltern - Indigo Valley,20
Females,Education and Training,Chiltern - Indigo Valley,73
Males,Health Care and Social Assistance,Chiltern - Indigo Valley,34
Females,Health Care and Social Assistance,Chiltern - Indigo Valley,180
Males,Arts and Recreation Services,Chiltern - Indigo Valley,7
Females,Arts and Recreation Services,Chiltern - Indigo Valley,6
Males,Other Services,Chiltern - Indigo Valley,37
Females,Other Services,Chiltern - Indigo Valley,29
Males,Inadequately described and not stated,Chiltern - Indigo Valley,45
Females,Inadequately described and not stated,Chiltern - Indigo Valley,23
Males,"Agriculture, Forestry and Fishing",Myrtleford,158
Females,"Agriculture, Forestry and Fishing",Myrtleford,66
Males,Mining,Myrtleford,12
Females,Mining,Myrtleford,0
Males,Manufacturing,Myrtleford,225
Females,Manufacturing,Myrtleford,67
Males,"Electricity, Gas, Water and Waste Services",Myrtleford,13
Females,"Electricity, Gas, Water and Waste Services",Myrtleford,3
Males,Construction,Myrtleford,117
Females,Construction,Myrtleford,13
Males,Wholesale Trade,Myrtleford,22
Females,Wholesale Trade,Myrtleford,10
Males,Retail Trade,Myrtleford,85
Females,Retail Trade,Myrtleford,152
Males,Accommodation and Food Services,Myrtleford,47
Females,Accommodation and Food Services,Myrtleford,126
Males,"Transport, Postal and Warehousing",Myrtleford,57
Females,"Transport, Postal and Warehousing",Myrtleford,16
Males,Information Media and Telecommunications,Myrtleford,3
Females,Information Media and Telecommunications,Myrtleford,7
Males,Financial and Insurance Services,Myrtleford,3
Females,Financial and Insurance Services,Myrtleford,17
Males,"Rental, Hiring and Real Estate Services",Myrtleford,8
Females,"Rental, Hiring and Real Estate Services",Myrtleford,15
Males,"Professional, Scientific and Technical Services",Myrtleford,26
Females,"Professional, Scientific and Technical Services",Myrtleford,50
Males,Administrative and Support Services,Myrtleford,39
Females,Administrative and Support Services,Myrtleford,21
Males,Public Administration and Safety,Myrtleford,51
Females,Public Administration and Safety,Myrtleford,49
Males,Education and Training,Myrtleford,30
Females,Education and Training,Myrtleford,88
Males,Health Care and Social Assistance,Myrtleford,43
Females,Health Care and Social Assistance,Myrtleford,230
Males,Arts and Recreation Services,Myrtleford,10
Females,Arts and Recreation Services,Myrtleford,6
Males,Other Services,Myrtleford,46
Females,Other Services,Myrtleford,26
Males,Inadequately described and not stated,Myrtleford,54
Females,Inadequately described and not stated,Myrtleford,35
Males,"Agriculture, Forestry and Fishing",Towong,445
Females,"Agriculture, Forestry and Fishing",Towong,192
Males,Mining,Towong,3
Females,Mining,Towong,0
Males,Manufacturing,Towong,98
Females,Manufacturing,Towong,33
Males,"Electricity, Gas, Water and Waste Services",Towong,46
Females,"Electricity, Gas, Water and Waste Services",Towong,6
Males,Construction,Towong,212
Females,Construction,Towong,30
Males,Wholesale Trade,Towong,31
Females,Wholesale Trade,Towong,21
Males,Retail Trade,Towong,74
Females,Retail Trade,Towong,125
Males,Accommodation and Food Services,Towong,50
Females,Accommodation and Food Services,Towong,95
Males,"Transport, Postal and Warehousing",Towong,77
Females,"Transport, Postal and Warehousing",Towong,30
Males,Information Media and Telecommunications,Towong,7
Females,Information Media and Telecommunications,Towong,9
Males,Financial and Insurance Services,Towong,4
Females,Financial and Insurance Services,Towong,20
Males,"Rental, Hiring and Real Estate Services",Towong,5
Females,"Rental, Hiring and Real Estate Services",Towong,4
Males,"Professional, Scientific and Technical Services",Towong,41
Females,"Professional, Scientific and Technical Services",Towong,38
Males,Administrative and Support Services,Towong,22
Females,Administrative and Support Services,Towong,26
Males,Public Administration and Safety,Towong,83
Females,Public Administration and Safety,Towong,61
Males,Education and Training,Towong,66
Females,Education and Training,Towong,146
Males,Health Care and Social Assistance,Towong,46
Females,Health Care and Social Assistance,Towong,299
Males,Arts and Recreation Services,Towong,11
Females,Arts and Recreation Services,Towong,9
Males,Other Services,Towong,68
Females,Other Services,Towong,28
Males,Inadequately described and not stated,Towong,64
Females,Inadequately described and not stated,Towong,40
Males,"Agriculture, Forestry and Fishing",West Wodonga,78
Females,"Agriculture, Forestry and Fishing",West Wodonga,30
Males,Mining,West Wodonga,16
Females,Mining,West Wodonga,0
Males,Manufacturing,West Wodonga,641
Females,Manufacturing,West Wodonga,170
Males,"Electricity, Gas, Water and Waste Services",West Wodonga,42
Females,"Electricity, Gas, Water and Waste Services",West Wodonga,10
Males,Construction,West Wodonga,495
Females,Construction,West Wodonga,81
Males,Wholesale Trade,West Wodonga,119
Females,Wholesale Trade,West Wodonga,40
Males,Retail Trade,West Wodonga,298
Females,Retail Trade,West Wodonga,500
Males,Accommodation and Food Services,West Wodonga,174
Females,Accommodation and Food Services,West Wodonga,298
Males,"Transport, Postal and Warehousing",West Wodonga,276
Females,"Transport, Postal and Warehousing",West Wodonga,73
Males,Information Media and Telecommunications,West Wodonga,38
Females,Information Media and Telecommunications,West Wodonga,28
Males,Financial and Insurance Services,West Wodonga,55
Females,Financial and Insurance Services,West Wodonga,79
Males,"Rental, Hiring and Real Estate Services",West Wodonga,27
Females,"Rental, Hiring and Real Estate Services",West Wodonga,43
Males,"Professional, Scientific and Technical Services",West Wodonga,125
Females,"Professional, Scientific and Technical Services",West Wodonga,131
Males,Administrative and Support Services,West Wodonga,128
Females,Administrative and Support Services,West Wodonga,137
Males,Public Administration and Safety,West Wodonga,405
Females,Public Administration and Safety,West Wodonga,318
Males,Education and Training,West Wodonga,132
Females,Education and Training,West Wodonga,402
Males,Health Care and Social Assistance,West Wodonga,154
Females,Health Care and Social Assistance,West Wodonga,856
Males,Arts and Recreation Services,West Wodonga,33
Females,Arts and Recreation Services,West Wodonga,37
Males,Other Services,West Wodonga,181
Females,Other Services,West Wodonga,114
Males,Inadequately described and not stated,West Wodonga,146
Females,Inadequately described and not stated,West Wodonga,81
Males,"Agriculture, Forestry and Fishing",Wodonga,113
Females,"Agriculture, Forestry and Fishing",Wodonga,36
Males,Mining,Wodonga,18
Females,Mining,Wodonga,4
Males,Manufacturing,Wodonga,897
Females,Manufacturing,Wodonga,219
Males,"Electricity, Gas, Water and Waste Services",Wodonga,73
Females,"Electricity, Gas, Water and Waste Services",Wodonga,11
Males,Construction,Wodonga,863
Females,Construction,Wodonga,128
Males,Wholesale Trade,Wodonga,198
Females,Wholesale Trade,Wodonga,60
Males,Retail Trade,Wodonga,521
Females,Retail Trade,Wodonga,701
Males,Accommodation and Food Services,Wodonga,268
Females,Accommodation and Food Services,Wodonga,478
Males,"Transport, Postal and Warehousing",Wodonga,391
Females,"Transport, Postal and Warehousing",Wodonga,90
Males,Information Media and Telecommunications,Wodonga,50
Females,Information Media and Telecommunications,Wodonga,28
Males,Financial and Insurance Services,Wodonga,76
Females,Financial and Insurance Services,Wodonga,129
Males,"Rental, Hiring and Real Estate Services",Wodonga,50
Females,"Rental, Hiring and Real Estate Services",Wodonga,78
Males,"Professional, Scientific and Technical Services",Wodonga,225
Females,"Professional, Scientific and Technical Services",Wodonga,187
Males,Administrative and Support Services,Wodonga,159
Females,Administrative and Support Services,Wodonga,170
Males,Public Administration and Safety,Wodonga,1029
Females,Public Administration and Safety,Wodonga,526
Males,Education and Training,Wodonga,233
Females,Education and Training,Wodonga,621
Males,Health Care and Social Assistance,Wodonga,294
Females,Health Care and Social Assistance,Wodonga,1352
Males,Arts and Recreation Services,Wodonga,43
Females,Arts and Recreation Services,Wodonga,54
Males,Other Services,Wodonga,229
Females,Other Services,Wodonga,185
Males,Inadequately described and not stated,Wodonga,305
Females,Inadequately described and not stated,Wodonga,142
Males,"Agriculture, Forestry and Fishing",Yackandandah,153
Females,"Agriculture, Forestry and Fishing",Yackandandah,89
Males,Mining,Yackandandah,11
Females,Mining,Yackandandah,3
Males,Manufacturing,Yackandandah,152
Females,Manufacturing,Yackandandah,60
Males,"Electricity, Gas, Water and Waste Services",Yackandandah,20
Females,"Electricity, Gas, Water and Waste Services",Yackandandah,0
Males,Construction,Yackandandah,188
Females,Construction,Yackandandah,27
Males,Wholesale Trade,Yackandandah,37
Females,Wholesale Trade,Yackandandah,22
Males,Retail Trade,Yackandandah,77
Females,Retail Trade,Yackandandah,115
Males,Accommodation and Food Services,Yackandandah,35
Females,Accommodation and Food Services,Yackandandah,52
Males,"Transport, Postal and Warehousing",Yackandandah,69
Females,"Transport, Postal and Warehousing",Yackandandah,27
Males,Information Media and Telecommunications,Yackandandah,7
Females,Information Media and Telecommunications,Yackandandah,9
Males,Financial and Insurance Services,Yackandandah,5
Females,Financial and Insurance Services,Yackandandah,18
Males,"Rental, Hiring and Real Estate Services",Yackandandah,11
Females,"Rental, Hiring and Real Estate Services",Yackandandah,13
Males,"Professional, Scientific and Technical Services",Yackandandah,38
Females,"Professional, Scientific and Technical Services",Yackandandah,52
Males,Administrative and Support Services,Yackandandah,27
Females,Administrative and Support Services,Yackandandah,26
Males,Public Administration and Safety,Yackandandah,103
Females,Public Administration and Safety,Yackandandah,83
Males,Education and Training,Yackandandah,64
Females,Education and Training,Yackandandah,164
Males,Health Care and Social Assistance,Yackandandah,43
Females,Health Care and Social Assistance,Yackandandah,271
Males,Arts and Recreation Services,Yackandandah,17
Females,Arts and Recreation Services,Yackandandah,9
Males,Other Services,Yackandandah,42
Females,Other Services,Yackandandah,30
Males,Inadequately described and not stated,Yackandandah,46
Females,Inadequately described and not stated,Yackandandah,32
Males,"Agriculture, Forestry and Fishing",Drouin,314
Females,"Agriculture, Forestry and Fishing",Drouin,171
Males,Mining,Drouin,28
Females,Mining,Drouin,4
Males,Manufacturing,Drouin,472
Females,Manufacturing,Drouin,131
Males,"Electricity, Gas, Water and Waste Services",Drouin,61
Females,"Electricity, Gas, Water and Waste Services",Drouin,5
Males,Construction,Drouin,765
Females,Construction,Drouin,90
Males,Wholesale Trade,Drouin,142
Females,Wholesale Trade,Drouin,63
Males,Retail Trade,Drouin,235
Females,Retail Trade,Drouin,366
Males,Accommodation and Food Services,Drouin,143
Females,Accommodation and Food Services,Drouin,269
Males,"Transport, Postal and Warehousing",Drouin,245
Females,"Transport, Postal and Warehousing",Drouin,46
Males,Information Media and Telecommunications,Drouin,46
Females,Information Media and Telecommunications,Drouin,24
Males,Financial and Insurance Services,Drouin,39
Females,Financial and Insurance Services,Drouin,69
Males,"Rental, Hiring and Real Estate Services",Drouin,36
Females,"Rental, Hiring and Real Estate Services",Drouin,62
Males,"Professional, Scientific and Technical Services",Drouin,123
Females,"Professional, Scientific and Technical Services",Drouin,159
Males,Administrative and Support Services,Drouin,84
Females,Administrative and Support Services,Drouin,109
Males,Public Administration and Safety,Drouin,132
Females,Public Administration and Safety,Drouin,143
Males,Education and Training,Drouin,164
Females,Education and Training,Drouin,451
Males,Health Care and Social Assistance,Drouin,111
Females,Health Care and Social Assistance,Drouin,686
Males,Arts and Recreation Services,Drouin,45
Females,Arts and Recreation Services,Drouin,43
Males,Other Services,Drouin,193
Females,Other Services,Drouin,155
Males,Inadequately described and not stated,Drouin,233
Females,Inadequately described and not stated,Drouin,96
Males,"Agriculture, Forestry and Fishing",Mount Baw Baw Region,298
Females,"Agriculture, Forestry and Fishing",Mount Baw Baw Region,157
Males,Mining,Mount Baw Baw Region,31
Females,Mining,Mount Baw Baw Region,8
Males,Manufacturing,Mount Baw Baw Region,128
Females,Manufacturing,Mount Baw Baw Region,45
Males,"Electricity, Gas, Water and Waste Services",Mount Baw Baw Region,69
Females,"Electricity, Gas, Water and Waste Services",Mount Baw Baw Region,8
Males,Construction,Mount Baw Baw Region,263
Females,Construction,Mount Baw Baw Region,33
Males,Wholesale Trade,Mount Baw Baw Region,39
Females,Wholesale Trade,Mount Baw Baw Region,17
Males,Retail Trade,Mount Baw Baw Region,73
Females,Retail Trade,Mount Baw Baw Region,116
Males,Accommodation and Food Services,Mount Baw Baw Region,52
Females,Accommodation and Food Services,Mount Baw Baw Region,108
Males,"Transport, Postal and Warehousing",Mount Baw Baw Region,59
Females,"Transport, Postal and Warehousing",Mount Baw Baw Region,26
Males,Information Media and Telecommunications,Mount Baw Baw Region,12
Females,Information Media and Telecommunications,Mount Baw Baw Region,7
Males,Financial and Insurance Services,Mount Baw Baw Region,19
Females,Financial and Insurance Services,Mount Baw Baw Region,17
Males,"Rental, Hiring and Real Estate Services",Mount Baw Baw Region,14
Females,"Rental, Hiring and Real Estate Services",Mount Baw Baw Region,13
Males,"Professional, Scientific and Technical Services",Mount Baw Baw Region,57
Females,"Professional, Scientific and Technical Services",Mount Baw Baw Region,53
Males,Administrative and Support Services,Mount Baw Baw Region,39
Females,Administrative and Support Services,Mount Baw Baw Region,41
Males,Public Administration and Safety,Mount Baw Baw Region,70
Females,Public Administration and Safety,Mount Baw Baw Region,80
Males,Education and Training,Mount Baw Baw Region,48
Females,Education and Training,Mount Baw Baw Region,180
Males,Health Care and Social Assistance,Mount Baw Baw Region,51
Females,Health Care and Social Assistance,Mount Baw Baw Region,258
Males,Arts and Recreation Services,Mount Baw Baw Region,13
Females,Arts and Recreation Services,Mount Baw Baw Region,16
Males,Other Services,Mount Baw Baw Region,78
Females,Other Services,Mount Baw Baw Region,37
Males,Inadequately described and not stated,Mount Baw Baw Region,77
Females,Inadequately described and not stated,Mount Baw Baw Region,36
Males,"Agriculture, Forestry and Fishing",Trafalgar (Vic.),296
Females,"Agriculture, Forestry and Fishing",Trafalgar (Vic.),132
Males,Mining,Trafalgar (Vic.),40
Females,Mining,Trafalgar (Vic.),3
Males,Manufacturing,Trafalgar (Vic.),172
Females,Manufacturing,Trafalgar (Vic.),52
Males,"Electricity, Gas, Water and Waste Services",Trafalgar (Vic.),114
Females,"Electricity, Gas, Water and Waste Services",Trafalgar (Vic.),18
Males,Construction,Trafalgar (Vic.),342
Females,Construction,Trafalgar (Vic.),29
Males,Wholesale Trade,Trafalgar (Vic.),38
Females,Wholesale Trade,Trafalgar (Vic.),19
Males,Retail Trade,Trafalgar (Vic.),104
Females,Retail Trade,Trafalgar (Vic.),172
Males,Accommodation and Food Services,Trafalgar (Vic.),52
Females,Accommodation and Food Services,Trafalgar (Vic.),134
Males,"Transport, Postal and Warehousing",Trafalgar (Vic.),86
Females,"Transport, Postal and Warehousing",Trafalgar (Vic.),34
Males,Information Media and Telecommunications,Trafalgar (Vic.),13
Females,Information Media and Telecommunications,Trafalgar (Vic.),13
Males,Financial and Insurance Services,Trafalgar (Vic.),20
Females,Financial and Insurance Services,Trafalgar (Vic.),38
Males,"Rental, Hiring and Real Estate Services",Trafalgar (Vic.),12
Females,"Rental, Hiring and Real Estate Services",Trafalgar (Vic.),13
Males,"Professional, Scientific and Technical Services",Trafalgar (Vic.),79
Females,"Professional, Scientific and Technical Services",Trafalgar (Vic.),81
Males,Administrative and Support Services,Trafalgar (Vic.),37
Females,Administrative and Support Services,Trafalgar (Vic.),35
Males,Public Administration and Safety,Trafalgar (Vic.),78
Females,Public Administration and Safety,Trafalgar (Vic.),139
Males,Education and Training,Trafalgar (Vic.),65
Females,Education and Training,Trafalgar (Vic.),216
Males,Health Care and Social Assistance,Trafalgar (Vic.),70
Females,Health Care and Social Assistance,Trafalgar (Vic.),383
Males,Arts and Recreation Services,Trafalgar (Vic.),19
Females,Arts and Recreation Services,Trafalgar (Vic.),31
Males,Other Services,Trafalgar (Vic.),75
Females,Other Services,Trafalgar (Vic.),58
Males,Inadequately described and not stated,Trafalgar (Vic.),93
Females,Inadequately described and not stated,Trafalgar (Vic.),42
Males,"Agriculture, Forestry and Fishing",Warragul,378
Females,"Agriculture, Forestry and Fishing",Warragul,219
Males,Mining,Warragul,42
Females,Mining,Warragul,3
Males,Manufacturing,Warragul,419
Females,Manufacturing,Warragul,134
Males,"Electricity, Gas, Water and Waste Services",Warragul,145
Females,"Electricity, Gas, Water and Waste Services",Warragul,16
Males,Construction,Warragul,838
Females,Construction,Warragul,84
Males,Wholesale Trade,Warragul,180
Females,Wholesale Trade,Warragul,55
Males,Retail Trade,Warragul,336
Females,Retail Trade,Warragul,447
Males,Accommodation and Food Services,Warragul,206
Females,Accommodation and Food Services,Warragul,348
Males,"Transport, Postal and Warehousing",Warragul,220
Females,"Transport, Postal and Warehousing",Warragul,57
Males,Information Media and Telecommunications,Warragul,63
Females,Information Media and Telecommunications,Warragul,51
Males,Financial and Insurance Services,Warragul,73
Females,Financial and Insurance Services,Warragul,101
Males,"Rental, Hiring and Real Estate Services",Warragul,42
Females,"Rental, Hiring and Real Estate Services",Warragul,46
Males,"Professional, Scientific and Technical Services",Warragul,232
Females,"Professional, Scientific and Technical Services",Warragul,191
Males,Administrative and Support Services,Warragul,83
Females,Administrative and Support Services,Warragul,110
Males,Public Administration and Safety,Warragul,241
Females,Public Administration and Safety,Warragul,235
Males,Education and Training,Warragul,249
Females,Education and Training,Warragul,694
Males,Health Care and Social Assistance,Warragul,184
Females,Health Care and Social Assistance,Warragul,851
Males,Arts and Recreation Services,Warragul,44
Females,Arts and Recreation Services,Warragul,52
Males,Other Services,Warragul,207
Females,Other Services,Warragul,185
Males,Inadequately described and not stated,Warragul,182
Females,Inadequately described and not stated,Warragul,120
Males,"Agriculture, Forestry and Fishing",Alps - East,0
Females,"Agriculture, Forestry and Fishing",Alps - East,0
Males,Mining,Alps - East,0
Females,Mining,Alps - East,0
Males,Manufacturing,Alps - East,0
Females,Manufacturing,Alps - East,0
Males,"Electricity, Gas, Water and Waste Services",Alps - East,0
Females,"Electricity, Gas, Water and Waste Services",Alps - East,0
Males,Construction,Alps - East,0
Females,Construction,Alps - East,0
Males,Wholesale Trade,Alps - East,0
Females,Wholesale Trade,Alps - East,0
Males,Retail Trade,Alps - East,0
Females,Retail Trade,Alps - East,0
Males,Accommodation and Food Services,Alps - East,0
Females,Accommodation and Food Services,Alps - East,0
Males,"Transport, Postal and Warehousing",Alps - East,0
Females,"Transport, Postal and Warehousing",Alps - East,0
Males,Information Media and Telecommunications,Alps - East,0
Females,Information Media and Telecommunications,Alps - East,0
Males,Financial and Insurance Services,Alps - East,0
Females,Financial and Insurance Services,Alps - East,0
Males,"Rental, Hiring and Real Estate Services",Alps - East,0
Females,"Rental, Hiring and Real Estate Services",Alps - East,0
Males,"Professional, Scientific and Technical Services",Alps - East,0
Females,"Professional, Scientific and Technical Services",Alps - East,0
Males,Administrative and Support Services,Alps - East,0
Females,Administrative and Support Services,Alps - East,0
Males,Public Administration and Safety,Alps - East,0
Females,Public Administration and Safety,Alps - East,0
Males,Education and Training,Alps - East,0
Females,Education and Training,Alps - East,0
Males,Health Care and Social Assistance,Alps - East,0
Females,Health Care and Social Assistance,Alps - East,0
Males,Arts and Recreation Services,Alps - East,0
Females,Arts and Recreation Services,Alps - East,0
Males,Other Services,Alps - East,0
Females,Other Services,Alps - East,0
Males,Inadequately described and not stated,Alps - East,0
Females,Inadequately described and not stated,Alps - East,0
Males,"Agriculture, Forestry and Fishing",Bairnsdale,133
Females,"Agriculture, Forestry and Fishing",Bairnsdale,59
Males,Mining,Bairnsdale,43
Females,Mining,Bairnsdale,0
Males,Manufacturing,Bairnsdale,351
Females,Manufacturing,Bairnsdale,183
Males,"Electricity, Gas, Water and Waste Services",Bairnsdale,61
Females,"Electricity, Gas, Water and Waste Services",Bairnsdale,17
Males,Construction,Bairnsdale,449
Females,Construction,Bairnsdale,56
Males,Wholesale Trade,Bairnsdale,122
Females,Wholesale Trade,Bairnsdale,42
Males,Retail Trade,Bairnsdale,361
Females,Retail Trade,Bairnsdale,401
Males,Accommodation and Food Services,Bairnsdale,168
Females,Accommodation and Food Services,Bairnsdale,242
Males,"Transport, Postal and Warehousing",Bairnsdale,182
Females,"Transport, Postal and Warehousing",Bairnsdale,41
Males,Information Media and Telecommunications,Bairnsdale,30
Females,Information Media and Telecommunications,Bairnsdale,23
Males,Financial and Insurance Services,Bairnsdale,23
Females,Financial and Insurance Services,Bairnsdale,49
Males,"Rental, Hiring and Real Estate Services",Bairnsdale,37
Females,"Rental, Hiring and Real Estate Services",Bairnsdale,34
Males,"Professional, Scientific and Technical Services",Bairnsdale,113
Females,"Professional, Scientific and Technical Services",Bairnsdale,109
Males,Administrative and Support Services,Bairnsdale,72
Females,Administrative and Support Services,Bairnsdale,106
Males,Public Administration and Safety,Bairnsdale,128
Females,Public Administration and Safety,Bairnsdale,153
Males,Education and Training,Bairnsdale,114
Females,Education and Training,Bairnsdale,375
Males,Health Care and Social Assistance,Bairnsdale,160
Females,Health Care and Social Assistance,Bairnsdale,743
Males,Arts and Recreation Services,Bairnsdale,31
Females,Arts and Recreation Services,Bairnsdale,33
Males,Other Services,Bairnsdale,147
Females,Other Services,Bairnsdale,108
Males,Inadequately described and not stated,Bairnsdale,152
Females,Inadequately described and not stated,Bairnsdale,76
Males,"Agriculture, Forestry and Fishing",Bruthen - Omeo,429
Females,"Agriculture, Forestry and Fishing",Bruthen - Omeo,187
Males,Mining,Bruthen - Omeo,28
Females,Mining,Bruthen - Omeo,5
Males,Manufacturing,Bruthen - Omeo,178
Females,Manufacturing,Bruthen - Omeo,81
Males,"Electricity, Gas, Water and Waste Services",Bruthen - Omeo,38
Females,"Electricity, Gas, Water and Waste Services",Bruthen - Omeo,4
Males,Construction,Bruthen - Omeo,287
Females,Construction,Bruthen - Omeo,29
Males,Wholesale Trade,Bruthen - Omeo,50
Females,Wholesale Trade,Bruthen - Omeo,22
Males,Retail Trade,Bruthen - Omeo,109
Females,Retail Trade,Bruthen - Omeo,205
Males,Accommodation and Food Services,Bruthen - Omeo,83
Females,Accommodation and Food Services,Bruthen - Omeo,129
Males,"Transport, Postal and Warehousing",Bruthen - Omeo,91
Females,"Transport, Postal and Warehousing",Bruthen - Omeo,27
Males,Information Media and Telecommunications,Bruthen - Omeo,5
Females,Information Media and Telecommunications,Bruthen - Omeo,5
Males,Financial and Insurance Services,Bruthen - Omeo,4
Females,Financial and Insurance Services,Bruthen - Omeo,21
Males,"Rental, Hiring and Real Estate Services",Bruthen - Omeo,3
Females,"Rental, Hiring and Real Estate Services",Bruthen - Omeo,15
Males,"Professional, Scientific and Technical Services",Bruthen - Omeo,57
Females,"Professional, Scientific and Technical Services",Bruthen - Omeo,59
Males,Administrative and Support Services,Bruthen - Omeo,47
Females,Administrative and Support Services,Bruthen - Omeo,47
Males,Public Administration and Safety,Bruthen - Omeo,89
Females,Public Administration and Safety,Bruthen - Omeo,92
Males,Education and Training,Bruthen - Omeo,83
Females,Education and Training,Bruthen - Omeo,185
Males,Health Care and Social Assistance,Bruthen - Omeo,62
Females,Health Care and Social Assistance,Bruthen - Omeo,381
Males,Arts and Recreation Services,Bruthen - Omeo,25
Females,Arts and Recreation Services,Bruthen - Omeo,28
Males,Other Services,Bruthen - Omeo,72
Females,Other Services,Bruthen - Omeo,46
Males,Inadequately described and not stated,Bruthen - Omeo,106
Females,Inadequately described and not stated,Bruthen - Omeo,64
Males,"Agriculture, Forestry and Fishing",Lake King,0
Females,"Agriculture, Forestry and Fishing",Lake King,0
Males,Mining,Lake King,0
Females,Mining,Lake King,0
Males,Manufacturing,Lake King,0
Females,Manufacturing,Lake King,0
Males,"Electricity, Gas, Water and Waste Services",Lake King,0
Females,"Electricity, Gas, Water and Waste Services",Lake King,0
Males,Construction,Lake King,0
Females,Construction,Lake King,0
Males,Wholesale Trade,Lake King,0
Females,Wholesale Trade,Lake King,0
Males,Retail Trade,Lake King,0
Females,Retail Trade,Lake King,0
Males,Accommodation and Food Services,Lake King,0
Females,Accommodation and Food Services,Lake King,0
Males,"Transport, Postal and Warehousing",Lake King,0
Females,"Transport, Postal and Warehousing",Lake King,0
Males,Information Media and Telecommunications,Lake King,0
Females,Information Media and Telecommunications,Lake King,0
Males,Financial and Insurance Services,Lake King,0
Females,Financial and Insurance Services,Lake King,0
Males,"Rental, Hiring and Real Estate Services",Lake King,0
Females,"Rental, Hiring and Real Estate Services",Lake King,0
Males,"Professional, Scientific and Technical Services",Lake King,0
Females,"Professional, Scientific and Technical Services",Lake King,0
Males,Administrative and Support Services,Lake King,0
Females,Administrative and Support Services,Lake King,0
Males,Public Administration and Safety,Lake King,0
Females,Public Administration and Safety,Lake King,0
Males,Education and Training,Lake King,0
Females,Education and Training,Lake King,0
Males,Health Care and Social Assistance,Lake King,0
Females,Health Care and Social Assistance,Lake King,0
Males,Arts and Recreation Services,Lake King,0
Females,Arts and Recreation Services,Lake King,0
Males,Other Services,Lake King,0
Females,Other Services,Lake King,0
Males,Inadequately described and not stated,Lake King,0
Females,Inadequately described and not stated,Lake King,0
Males,"Agriculture, Forestry and Fishing",Lakes Entrance,143
Females,"Agriculture, Forestry and Fishing",Lakes Entrance,38
Males,Mining,Lakes Entrance,28
Females,Mining,Lakes Entrance,0
Males,Manufacturing,Lakes Entrance,141
Females,Manufacturing,Lakes Entrance,69
Males,"Electricity, Gas, Water and Waste Services",Lakes Entrance,47
Females,"Electricity, Gas, Water and Waste Services",Lakes Entrance,3
Males,Construction,Lakes Entrance,301
Females,Construction,Lakes Entrance,18
Males,Wholesale Trade,Lakes Entrance,34
Females,Wholesale Trade,Lakes Entrance,12
Males,Retail Trade,Lakes Entrance,174
Females,Retail Trade,Lakes Entrance,217
Males,Accommodation and Food Services,Lakes Entrance,197
Females,Accommodation and Food Services,Lakes Entrance,311
Males,"Transport, Postal and Warehousing",Lakes Entrance,84
Females,"Transport, Postal and Warehousing",Lakes Entrance,28
Males,Information Media and Telecommunications,Lakes Entrance,13
Females,Information Media and Telecommunications,Lakes Entrance,12
Males,Financial and Insurance Services,Lakes Entrance,12
Females,Financial and Insurance Services,Lakes Entrance,31
Males,"Rental, Hiring and Real Estate Services",Lakes Entrance,12
Females,"Rental, Hiring and Real Estate Services",Lakes Entrance,37
Males,"Professional, Scientific and Technical Services",Lakes Entrance,60
Females,"Professional, Scientific and Technical Services",Lakes Entrance,48
Males,Administrative and Support Services,Lakes Entrance,47
Females,Administrative and Support Services,Lakes Entrance,57
Males,Public Administration and Safety,Lakes Entrance,108
Females,Public Administration and Safety,Lakes Entrance,107
