Sex,Age,Region,Value
Females,0 - 4,Healesville - Yarra Glen,366
Males,0 - 4,Kilsyth,314
Females,0 - 4,Kilsyth,284
Males,0 - 4,Lilydale - Coldstream,544
Females,0 - 4,Lilydale - Coldstream,533
Males,0 - 4,Monbulk - Silvan,168
Females,0 - 4,Monbulk - Silvan,147
Males,0 - 4,Montrose,227
Females,0 - 4,Montrose,191
Males,0 - 4,Mooroolbark,766
Females,0 - 4,Mooroolbark,777
Males,0 - 4,Mount Dandenong - Olinda,271
Females,0 - 4,Mount Dandenong - Olinda,268
Males,0 - 4,Mount Evelyn,311
Females,0 - 4,Mount Evelyn,333
Males,0 - 4,Upwey - Tecoma,299
Females,0 - 4,Upwey - Tecoma,264
Males,0 - 4,Wandin - Seville,242
Females,0 - 4,Wandin - Seville,214
Males,0 - 4,Yarra Valley,480
Females,0 - 4,Yarra Valley,489
Males,0 - 4,Beaconsfield - Officer,529
Females,0 - 4,Beaconsfield - Officer,461
Males,0 - 4,Bunyip - Garfield,238
Females,0 - 4,Bunyip - Garfield,220
Males,0 - 4,Emerald - Cockatoo,587
Females,0 - 4,Emerald - Cockatoo,519
Males,0 - 4,Koo Wee Rup,248
Females,0 - 4,Koo Wee Rup,240
Males,0 - 4,Pakenham - North,1041
Females,0 - 4,Pakenham - North,982
Males,0 - 4,Pakenham - South,1413
Females,0 - 4,Pakenham - South,1352
Males,0 - 4,Berwick - North,636
Females,0 - 4,Berwick - North,611
Males,0 - 4,Berwick - South,1127
Females,0 - 4,Berwick - South,1078
Males,0 - 4,Doveton,436
Females,0 - 4,Doveton,393
Males,0 - 4,Hallam,391
Females,0 - 4,Hallam,362
Males,0 - 4,Narre Warren North,164
Females,0 - 4,Narre Warren North,174
Males,0 - 4,Endeavour Hills - North,368
Females,0 - 4,Endeavour Hills - North,354
Males,0 - 4,Endeavour Hills - South,427
Females,0 - 4,Endeavour Hills - South,386
Males,0 - 4,Narre Warren - North East,433
Females,0 - 4,Narre Warren - North East,423
Males,0 - 4,Narre Warren - South West,533
Females,0 - 4,Narre Warren - South West,483
Males,0 - 4,Cranbourne,790
Females,0 - 4,Cranbourne,749
Males,0 - 4,Cranbourne East,1434
Females,0 - 4,Cranbourne East,1420
Males,0 - 4,Cranbourne North,1076
Females,0 - 4,Cranbourne North,966
Males,0 - 4,Cranbourne South,340
Females,0 - 4,Cranbourne South,318
Males,0 - 4,Cranbourne West,845
Females,0 - 4,Cranbourne West,856
Males,0 - 4,Hampton Park - Lynbrook,1033
Females,0 - 4,Hampton Park - Lynbrook,985
Males,0 - 4,Lynbrook - Lyndhurst,806
Females,0 - 4,Lynbrook - Lyndhurst,819
Males,0 - 4,Pearcedale - Tooradin,264
Females,0 - 4,Pearcedale - Tooradin,210
Males,0 - 4,Narre Warren South (East),402
Females,0 - 4,Narre Warren South (East),370
Males,0 - 4,Narre Warren South (West),662
Females,0 - 4,Narre Warren South (West),645
Males,0 - 4,Clarinda - Oakleigh South,296
Females,0 - 4,Clarinda - Oakleigh South,275
Males,0 - 4,Clayton South,428
Females,0 - 4,Clayton South,419
Males,0 - 4,Dandenong,1223
Females,0 - 4,Dandenong,1200
Males,0 - 4,Dandenong North,765
Females,0 - 4,Dandenong North,633
Males,0 - 4,Dingley Village,231
Females,0 - 4,Dingley Village,262
Males,0 - 4,Keysborough,924
Females,0 - 4,Keysborough,839
Males,0 - 4,Noble Park North,240
Females,0 - 4,Noble Park North,207
Males,0 - 4,Springvale,697
Females,0 - 4,Springvale,676
Males,0 - 4,Springvale South,402
Females,0 - 4,Springvale South,411
Males,0 - 4,Noble Park - East,478
Females,0 - 4,Noble Park - East,491
Males,0 - 4,Noble Park - West,639
Females,0 - 4,Noble Park - West,660
Males,0 - 4,Ashwood - Chadstone,602
Females,0 - 4,Ashwood - Chadstone,571
Males,0 - 4,Clayton,512
Females,0 - 4,Clayton,490
Males,0 - 4,Glen Waverley - East,460
Females,0 - 4,Glen Waverley - East,446
Males,0 - 4,Glen Waverley - West,455
Females,0 - 4,Glen Waverley - West,382
Males,0 - 4,Mount Waverley - North,316
Females,0 - 4,Mount Waverley - North,320
Males,0 - 4,Mount Waverley - South,524
Females,0 - 4,Mount Waverley - South,449
Males,0 - 4,Mulgrave,644
Females,0 - 4,Mulgrave,547
Males,0 - 4,Oakleigh - Huntingdale,648
Females,0 - 4,Oakleigh - Huntingdale,593
Males,0 - 4,Wheelers Hill,428
Females,0 - 4,Wheelers Hill,416
Males,0 - 4,Ardeer - Albion,294
Females,0 - 4,Ardeer - Albion,269
Males,0 - 4,Cairnlea,349
Females,0 - 4,Cairnlea,332
Males,0 - 4,Deer Park - Derrimut,1329
Females,0 - 4,Deer Park - Derrimut,1257
Males,0 - 4,Delahey,241
Females,0 - 4,Delahey,223
Males,0 - 4,Keilor Downs,369
Females,0 - 4,Keilor Downs,375
Males,0 - 4,Kings Park (Vic.),463
Females,0 - 4,Kings Park (Vic.),435
Males,0 - 4,St Albans - North,702
Females,0 - 4,St Albans - North,646
Males,0 - 4,St Albans - South,543
Females,0 - 4,St Albans - South,518
Males,0 - 4,Sunshine,389
Females,0 - 4,Sunshine,336
Males,0 - 4,Sunshine North,384
Females,0 - 4,Sunshine North,412
Males,0 - 4,Sunshine West,598
Females,0 - 4,Sunshine West,610
Males,0 - 4,Sydenham,412
Females,0 - 4,Sydenham,344
Males,0 - 4,Taylors Lakes,360
Females,0 - 4,Taylors Lakes,332
Males,0 - 4,Altona,379
Females,0 - 4,Altona,405
Males,0 - 4,Altona Meadows,606
Females,0 - 4,Altona Meadows,571
Males,0 - 4,Altona North,576
Females,0 - 4,Altona North,484
Males,0 - 4,Newport,755
Females,0 - 4,Newport,706
Males,0 - 4,Seabrook,174
Females,0 - 4,Seabrook,200
Males,0 - 4,Williamstown,447
Females,0 - 4,Williamstown,401
Males,0 - 4,Braybrook,648
Females,0 - 4,Braybrook,578
Males,0 - 4,Footscray,472
Females,0 - 4,Footscray,456
Males,0 - 4,Maribyrnong,381
Females,0 - 4,Maribyrnong,303
Males,0 - 4,Seddon - Kingsville,429
Females,0 - 4,Seddon - Kingsville,367
Males,0 - 4,West Footscray - Tottenham,434
Females,0 - 4,West Footscray - Tottenham,457
Males,0 - 4,Yarraville,573
Females,0 - 4,Yarraville,575
Males,0 - 4,Bacchus Marsh,750
Females,0 - 4,Bacchus Marsh,658
Males,0 - 4,Hillside,763
Females,0 - 4,Hillside,749
Males,0 - 4,Melton,724
Females,0 - 4,Melton,698
Males,0 - 4,Melton South,1135
Females,0 - 4,Melton South,1097
Males,0 - 4,Melton West,806
Females,0 - 4,Melton West,834
Males,0 - 4,Rockbank - Mount Cottrell,54
Females,0 - 4,Rockbank - Mount Cottrell,41
Males,0 - 4,Taylors Hill,877
Females,0 - 4,Taylors Hill,904
Males,0 - 4,Burnside,170
Females,0 - 4,Burnside,143
Males,0 - 4,Burnside Heights,374
Females,0 - 4,Burnside Heights,357
Males,0 - 4,Caroline Springs,835
Females,0 - 4,Caroline Springs,753
Males,0 - 4,Hoppers Crossing - North,629
Females,0 - 4,Hoppers Crossing - North,604
Males,0 - 4,Hoppers Crossing - South,729
Females,0 - 4,Hoppers Crossing - South,635
Males,0 - 4,Laverton,454
Females,0 - 4,Laverton,411
Males,0 - 4,Tarneit,2182
Females,0 - 4,Tarneit,2041
Males,0 - 4,Truganina,1612
Females,0 - 4,Truganina,1528
Males,0 - 4,Werribee - South,339
Females,0 - 4,Werribee - South,311
Males,0 - 4,Wyndham Vale,1271
Females,0 - 4,Wyndham Vale,1180
Males,0 - 4,Point Cook - East,661
Females,0 - 4,Point Cook - East,625
Males,0 - 4,Point Cook - North,1246
Females,0 - 4,Point Cook - North,1124
Males,0 - 4,Point Cook - South,993
Females,0 - 4,Point Cook - South,927
Males,0 - 4,Werribee - East,768
Females,0 - 4,Werribee - East,705
Males,0 - 4,Werribee - West,391
Females,0 - 4,Werribee - West,362
Males,0 - 4,Carrum Downs,825
Females,0 - 4,Carrum Downs,739
Males,0 - 4,Frankston,714
Females,0 - 4,Frankston,648
Males,0 - 4,Frankston North,687
Females,0 - 4,Frankston North,623
Males,0 - 4,Frankston South,507
Females,0 - 4,Frankston South,520
Males,0 - 4,Langwarrin,846
Females,0 - 4,Langwarrin,709
Males,0 - 4,Seaford (Vic.),560
