Sex,Age,Region,Value
Males,20 - 24,Brimbank,7881
Females,20 - 24,Brimbank,6776
Males,20 - 24,Hobsons Bay,2446
Females,20 - 24,Hobsons Bay,2268
Males,20 - 24,Maribyrnong,3860
Females,20 - 24,Maribyrnong,3395
Males,20 - 24,Melton - Bacchus Marsh,4855
Females,20 - 24,Melton - Bacchus Marsh,4775
Males,20 - 24,Wyndham,7165
Females,20 - 24,Wyndham,6676
Males,20 - 24,Frankston,4200
Females,20 - 24,Frankston,4307
Males,20 - 24,Mornington Peninsula,3969
Females,20 - 24,Mornington Peninsula,3442
Males,20 - 24,Baw Baw,1283
Females,20 - 24,Baw Baw,1249
Males,20 - 24,Gippsland - East,929
Females,20 - 24,Gippsland - East,893
Males,20 - 24,Gippsland - South West,1142
Females,20 - 24,Gippsland - South West,1140
Males,20 - 24,Latrobe Valley,2344
Females,20 - 24,Latrobe Valley,2420
Males,20 - 24,Wellington,1201
Females,20 - 24,Wellington,939
Males,20 - 24,Grampians,1476
Females,20 - 24,Grampians,1357
Males,20 - 24,Mildura,1560
Females,20 - 24,Mildura,1590
Males,20 - 24,Murray River - Swan Hill,991
Females,20 - 24,Murray River - Swan Hill,850
Males,20 - 24,Campaspe,931
Females,20 - 24,Campaspe,831
Males,20 - 24,Moira,730
Females,20 - 24,Moira,656
Males,20 - 24,Shepparton,1820
Females,20 - 24,Shepparton,1744
Males,20 - 24,Glenelg - Southern Grampians,901
Females,20 - 24,Glenelg - Southern Grampians,751
Males,20 - 24,Colac - Corangamite,973
Females,20 - 24,Colac - Corangamite,860
Males,20 - 24,Warrnambool,1516
Females,20 - 24,Warrnambool,1413
Males,20 - 24,Migratory - Offshore - Shipping (Vic.),0
Females,20 - 24,Migratory - Offshore - Shipping (Vic.),0
Males,20 - 24,Special Purpose Codes SA3 (Vic.),447
Females,20 - 24,Special Purpose Codes SA3 (Vic.),453
Males,25 - 29,Brunswick - Coburg,5423
Females,25 - 29,Brunswick - Coburg,5640
Males,25 - 29,Darebin - South,2356
Females,25 - 29,Darebin - South,2816
Males,25 - 29,Essendon,2922
Females,25 - 29,Essendon,3384
Males,25 - 29,Melbourne City,12933
Females,25 - 29,Melbourne City,13311
Males,25 - 29,Port Phillip,5953
Females,25 - 29,Port Phillip,6758
Males,25 - 29,Stonnington - West,4550
Females,25 - 29,Stonnington - West,5225
Males,25 - 29,Yarra,6711
Females,25 - 29,Yarra,7499
Males,25 - 29,Boroondara,6046
Females,25 - 29,Boroondara,6192
Males,25 - 29,Manningham - West,2783
Females,25 - 29,Manningham - West,2712
Males,25 - 29,Whitehorse - West,4092
Females,25 - 29,Whitehorse - West,3975
Males,25 - 29,Bayside,1807
Females,25 - 29,Bayside,1945
Males,25 - 29,Glen Eira,5599
Females,25 - 29,Glen Eira,5949
Males,25 - 29,Kingston,3244
Females,25 - 29,Kingston,3483
Males,25 - 29,Stonnington - East,1735
Females,25 - 29,Stonnington - East,1812
Males,25 - 29,Banyule,3961
Females,25 - 29,Banyule,3930
Males,25 - 29,Darebin - North,4584
Females,25 - 29,Darebin - North,4442
Males,25 - 29,Nillumbik - Kinglake,1581
Females,25 - 29,Nillumbik - Kinglake,1443
Males,25 - 29,Whittlesea - Wallan,8217
Females,25 - 29,Whittlesea - Wallan,8679
Males,25 - 29,Keilor,1671
Females,25 - 29,Keilor,1663
Males,25 - 29,Macedon Ranges,578
Females,25 - 29,Macedon Ranges,581
Males,25 - 29,Moreland - North,3491
Females,25 - 29,Moreland - North,3278
Males,25 - 29,Sunbury,1287
Females,25 - 29,Sunbury,1319
Males,25 - 29,Tullamarine - Broadmeadows,6594
Females,25 - 29,Tullamarine - Broadmeadows,6539
Males,25 - 29,Knox,4954
Females,25 - 29,Knox,4967
Males,25 - 29,Manningham - East,558
Females,25 - 29,Manningham - East,515
Males,25 - 29,Maroondah,3405
Females,25 - 29,Maroondah,3663
Males,25 - 29,Whitehorse - East,1853
Females,25 - 29,Whitehorse - East,1837
Males,25 - 29,Yarra Ranges,4404
Females,25 - 29,Yarra Ranges,4369
Males,25 - 29,Cardinia,3055
Females,25 - 29,Cardinia,3463
Males,25 - 29,Casey - North,4199
Females,25 - 29,Casey - North,4071
Males,25 - 29,Casey - South,5772
Females,25 - 29,Casey - South,6424
Males,25 - 29,Dandenong,8323
Females,25 - 29,Dandenong,7707
Males,25 - 29,Monash,7110
Females,25 - 29,Monash,6451
Males,25 - 29,Brimbank,7890
Females,25 - 29,Brimbank,7478
Males,25 - 29,Hobsons Bay,2692
Females,25 - 29,Hobsons Bay,2839
Males,25 - 29,Maribyrnong,4895
Females,25 - 29,Maribyrnong,4670
Males,25 - 29,Melton - Bacchus Marsh,5149
Females,25 - 29,Melton - Bacchus Marsh,5551
Males,25 - 29,Wyndham,8594
Females,25 - 29,Wyndham,9466
Males,25 - 29,Frankston,4278
Females,25 - 29,Frankston,4567
Males,25 - 29,Mornington Peninsula,3243
Females,25 - 29,Mornington Peninsula,3325
Males,25 - 29,Baw Baw,1244
Females,25 - 29,Baw Baw,1362
Males,25 - 29,Gippsland - East,887
Females,25 - 29,Gippsland - East,971
Males,25 - 29,Gippsland - South West,1258
Females,25 - 29,Gippsland - South West,1288
Males,25 - 29,Latrobe Valley,2196
Females,25 - 29,Latrobe Valley,2357
Males,25 - 29,Wellington,1178
Females,25 - 29,Wellington,1106
Males,25 - 29,Grampians,1601
Females,25 - 29,Grampians,1479
Males,25 - 29,Mildura,1698
Females,25 - 29,Mildura,1708
Males,25 - 29,Murray River - Swan Hill,980
Females,25 - 29,Murray River - Swan Hill,938
Males,25 - 29,Campaspe,821
Females,25 - 29,Campaspe,949
Males,25 - 29,Moira,653
Females,25 - 29,Moira,677
Males,25 - 29,Shepparton,1946
Females,25 - 29,Shepparton,1981
Males,25 - 29,Glenelg - Southern Grampians,714
Females,25 - 29,Glenelg - Southern Grampians,752
Males,25 - 29,Colac - Corangamite,953
Females,25 - 29,Colac - Corangamite,843
Males,25 - 29,Warrnambool,1460
Females,25 - 29,Warrnambool,1435
Males,25 - 29,Migratory - Offshore - Shipping (Vic.),0
Females,25 - 29,Migratory - Offshore - Shipping (Vic.),0
Males,25 - 29,Special Purpose Codes SA3 (Vic.),542
Females,25 - 29,Special Purpose Codes SA3 (Vic.),450
Males,30 - 34,Brunswick - Coburg,4961
Females,30 - 34,Brunswick - Coburg,5090
Males,30 - 34,Darebin - South,2501
Females,30 - 34,Darebin - South,2820
Males,30 - 34,Essendon,3054
Females,30 - 34,Essendon,3211
Males,30 - 34,Melbourne City,9308
Females,30 - 34,Melbourne City,8875
Males,30 - 34,Port Phillip,6623
Females,30 - 34,Port Phillip,6921
Males,30 - 34,Stonnington - West,4268
Females,30 - 34,Stonnington - West,4253
Males,30 - 34,Yarra,6158
Females,30 - 34,Yarra,6323
Males,30 - 34,Boroondara,5065
Females,30 - 34,Boroondara,5234
Males,30 - 34,Manningham - West,2565
Females,30 - 34,Manningham - West,2746
Males,30 - 34,Whitehorse - West,3379
Females,30 - 34,Whitehorse - West,3517
Males,30 - 34,Bayside,1940
Females,30 - 34,Bayside,2282
Males,30 - 34,Glen Eira,5745
Females,30 - 34,Glen Eira,6073
Males,30 - 34,Kingston,3702
Females,30 - 34,Kingston,4091
Males,30 - 34,Stonnington - East,1385
Females,30 - 34,Stonnington - East,1439
Males,30 - 34,Banyule,4014
Females,30 - 34,Banyule,4342
Males,30 - 34,Darebin - North,4543
Females,30 - 34,Darebin - North,4406
Males,30 - 34,Nillumbik - Kinglake,1426
Females,30 - 34,Nillumbik - Kinglake,1571
Males,30 - 34,Whittlesea - Wallan,9447
Females,30 - 34,Whittlesea - Wallan,9843
Males,30 - 34,Keilor,1778
Females,30 - 34,Keilor,1820
Males,30 - 34,Macedon Ranges,671
Females,30 - 34,Macedon Ranges,793
Males,30 - 34,Moreland - North,3814
Females,30 - 34,Moreland - North,3561
Males,30 - 34,Sunbury,1221
Females,30 - 34,Sunbury,1311
Males,30 - 34,Tullamarine - Broadmeadows,6538
Females,30 - 34,Tullamarine - Broadmeadows,6712
Males,30 - 34,Knox,5065
Females,30 - 34,Knox,5347
Males,30 - 34,Manningham - East,471
Females,30 - 34,Manningham - East,509
Males,30 - 34,Maroondah,3902
Females,30 - 34,Maroondah,4249
Males,30 - 34,Whitehorse - East,2078
Females,30 - 34,Whitehorse - East,2218
Males,30 - 34,Yarra Ranges,4356
Females,30 - 34,Yarra Ranges,4702
Males,30 - 34,Cardinia,3415
Females,30 - 34,Cardinia,3783
Males,30 - 34,Casey - North,4368
Females,30 - 34,Casey - North,4608
Males,30 - 34,Casey - South,7091
Females,30 - 34,Casey - South,7909
Males,30 - 34,Dandenong,8668
Females,30 - 34,Dandenong,7750
Males,30 - 34,Monash,6179
Females,30 - 34,Monash,6056
Males,30 - 34,Brimbank,7827
Females,30 - 34,Brimbank,7300
Males,30 - 34,Hobsons Bay,3146
Females,30 - 34,Hobsons Bay,3215
Males,30 - 34,Maribyrnong,4808
Females,30 - 34,Maribyrnong,4633
Males,30 - 34,Melton - Bacchus Marsh,5856
Females,30 - 34,Melton - Bacchus Marsh,6498
Males,30 - 34,Wyndham,11592
Females,30 - 34,Wyndham,12433
Males,30 - 34,Frankston,4667
Females,30 - 34,Frankston,4969
Males,30 - 34,Mornington Peninsula,3219
Females,30 - 34,Mornington Peninsula,3708
Males,30 - 34,Baw Baw,1291
Females,30 - 34,Baw Baw,1384
Males,30 - 34,Gippsland - East,953
Females,30 - 34,Gippsland - East,1008
Males,30 - 34,Gippsland - South West,1348
Females,30 - 34,Gippsland - South West,1526
Males,30 - 34,Latrobe Valley,2131
Females,30 - 34,Latrobe Valley,2346
Males,30 - 34,Wellington,1317
Females,30 - 34,Wellington,1258
Males,30 - 34,Grampians,1490
Females,30 - 34,Grampians,1442
Males,30 - 34,Mildura,1510
Females,30 - 34,Mildura,1623
Males,30 - 34,Murray River - Swan Hill,952
Females,30 - 34,Murray River - Swan Hill,967
Males,30 - 34,Campaspe,857
Females,30 - 34,Campaspe,915
Males,30 - 34,Moira,653
Females,30 - 34,Moira,711
Males,30 - 34,Shepparton,1935
Females,30 - 34,Shepparton,1964
Males,30 - 34,Glenelg - Southern Grampians,781
Females,30 - 34,Glenelg - Southern Grampians,893
Males,30 - 34,Colac - Corangamite,871
Females,30 - 34,Colac - Corangamite,896
Males,30 - 34,Warrnambool,1289
Females,30 - 34,Warrnambool,1418
Males,30 - 34,Migratory - Offshore - Shipping (Vic.),4
Females,30 - 34,Migratory - Offshore - Shipping (Vic.),0
Males,30 - 34,Special Purpose Codes SA3 (Vic.),513
Females,30 - 34,Special Purpose Codes SA3 (Vic.),345
Males,35 - 39,Brunswick - Coburg,3989
Females,35 - 39,Brunswick - Coburg,3987
Males,35 - 39,Darebin - South,2125
Females,35 - 39,Darebin - South,2431
Males,35 - 39,Essendon,2380
Females,35 - 39,Essendon,2540
Males,35 - 39,Melbourne City,5302
Females,35 - 39,Melbourne City,4521
Males,35 - 39,Port Phillip,4971
Females,35 - 39,Port Phillip,4982
Males,35 - 39,Stonnington - West,2576
Females,35 - 39,Stonnington - West,2464
Males,35 - 39,Yarra,4151
Females,35 - 39,Yarra,3968
Males,35 - 39,Boroondara,4576
Females,35 - 39,Boroondara,5204
Males,35 - 39,Manningham - West,2596
Females,35 - 39,Manningham - West,2820
Males,35 - 39,Whitehorse - West,2953
Females,35 - 39,Whitehorse - West,3185
Males,35 - 39,Bayside,2452
Females,35 - 39,Bayside,2812
Males,35 - 39,Glen Eira,5220
Females,35 - 39,Glen Eira,5268
Males,35 - 39,Kingston,4135
Females,35 - 39,Kingston,4503
Males,35 - 39,Stonnington - East,1283
Females,35 - 39,Stonnington - East,1368
Males,35 - 39,Banyule,4184
Females,35 - 39,Banyule,4417
Males,35 - 39,Darebin - North,3623
Females,35 - 39,Darebin - North,3755
Males,35 - 39,Nillumbik - Kinglake,1711
Females,35 - 39,Nillumbik - Kinglake,1957
Males,35 - 39,Whittlesea - Wallan,8354
Females,35 - 39,Whittlesea - Wallan,8320
Males,35 - 39,Keilor,1871
Females,35 - 39,Keilor,1962
Males,35 - 39,Macedon Ranges,831
Females,35 - 39,Macedon Ranges,940
Males,35 - 39,Moreland - North,3157
Females,35 - 39,Moreland - North,2983
Males,35 - 39,Sunbury,1193
Females,35 - 39,Sunbury,1329
Males,35 - 39,Tullamarine - Broadmeadows,5956
Females,35 - 39,Tullamarine - Broadmeadows,5823
Males,35 - 39,Knox,5064
Females,35 - 39,Knox,5224
Males,35 - 39,Manningham - East,558
Females,35 - 39,Manningham - East,665
Males,35 - 39,Maroondah,3862
Females,35 - 39,Maroondah,3854
Males,35 - 39,Whitehorse - East,2106
Females,35 - 39,Whitehorse - East,2245
Males,35 - 39,Yarra Ranges,4517
Females,35 - 39,Yarra Ranges,4697
Males,35 - 39,Cardinia,3232
Females,35 - 39,Cardinia,3325
Males,35 - 39,Casey - North,4391
Females,35 - 39,Casey - North,4523
Males,35 - 39,Casey - South,7064
Females,35 - 39,Casey - South,6908
Males,35 - 39,Dandenong,7011
Females,35 - 39,Dandenong,6298
Males,35 - 39,Monash,5382
Females,35 - 39,Monash,5571
Males,35 - 39,Brimbank,6582
Females,35 - 39,Brimbank,6367
Males,35 - 39,Hobsons Bay,3112
Females,35 - 39,Hobsons Bay,3227
Males,35 - 39,Maribyrnong,3990
Females,35 - 39,Maribyrnong,3737
Males,35 - 39,Melton - Bacchus Marsh,6295
Females,35 - 39,Melton - Bacchus Marsh,6615
Males,35 - 39,Wyndham,10839
Females,35 - 39,Wyndham,10019
Males,35 - 39,Frankston,4469
Females,35 - 39,Frankston,4606
Males,35 - 39,Mornington Peninsula,3693
Females,35 - 39,Mornington Peninsula,4141
Males,35 - 39,Baw Baw,1210
Females,35 - 39,Baw Baw,1399
Males,35 - 39,Gippsland - East,929
Females,35 - 39,Gippsland - East,1054
Males,35 - 39,Gippsland - South West,1368
Females,35 - 39,Gippsland - South West,1511
Males,35 - 39,Latrobe Valley,2006
Females,35 - 39,Latrobe Valley,2063
Males,35 - 39,Wellington,1265
Females,35 - 39,Wellington,1118
Males,35 - 39,Grampians,1457
Females,35 - 39,Grampians,1401
Males,35 - 39,Mildura,1407
Females,35 - 39,Mildura,1512
Males,35 - 39,Murray River - Swan Hill,898
Females,35 - 39,Murray River - Swan Hill,974
Males,35 - 39,Campaspe,832
Females,35 - 39,Campaspe,934
Males,35 - 39,Moira,635
Females,35 - 39,Moira,701
Males,35 - 39,Shepparton,1779
Females,35 - 39,Shepparton,1900
Males,35 - 39,Glenelg - Southern Grampians,826
Females,35 - 39,Glenelg - Southern Grampians,877
Males,35 - 39,Colac - Corangamite,927
Females,35 - 39,Colac - Corangamite,901
Males,35 - 39,Warrnambool,1314
Females,35 - 39,Warrnambool,1467
Males,35 - 39,Migratory - Offshore - Shipping (Vic.),0
Females,35 - 39,Migratory - Offshore - Shipping (Vic.),0
Males,35 - 39,Special Purpose Codes SA3 (Vic.),441
Females,35 - 39,Special Purpose Codes SA3 (Vic.),253
Males,40 - 44,Brunswick - Coburg,3096
Females,40 - 44,Brunswick - Coburg,3214
Males,40 - 44,Darebin - South,2064
Females,40 - 44,Darebin - South,2270
Males,40 - 44,Essendon,2323
Females,40 - 44,Essendon,2501
Males,40 - 44,Melbourne City,3249
Females,40 - 44,Melbourne City,2969
Males,40 - 44,Port Phillip,4027
Females,40 - 44,Port Phillip,4136
Males,40 - 44,Stonnington - West,1844
Females,40 - 44,Stonnington - West,1918
Males,40 - 44,Yarra,3045
Females,40 - 44,Yarra,2976
Males,40 - 44,Boroondara,4991
Females,40 - 44,Boroondara,5965
Males,40 - 44,Manningham - West,2677
Females,40 - 44,Manningham - West,3000
Males,40 - 44,Whitehorse - West,3192
Females,40 - 44,Whitehorse - West,3548
Males,40 - 44,Bayside,3243
Females,40 - 44,Bayside,3906
Males,40 - 44,Glen Eira,5218
Females,40 - 44,Glen Eira,5589
Males,40 - 44,Kingston,4533
Females,40 - 44,Kingston,4854
Males,40 - 44,Stonnington - East,1299
Females,40 - 44,Stonnington - East,1406
Males,40 - 44,Banyule,4302
Females,40 - 44,Banyule,4475
Males,40 - 44,Darebin - North,3349
Females,40 - 44,Darebin - North,3329
Males,40 - 44,Nillumbik - Kinglake,2345
Females,40 - 44,Nillumbik - Kinglake,2591
Males,40 - 44,Whittlesea - Wallan,7443
Females,40 - 44,Whittlesea - Wallan,7618
Males,40 - 44,Keilor,1998
Females,40 - 44,Keilor,2157
Males,40 - 44,Macedon Ranges,1072
Females,40 - 44,Macedon Ranges,1198
Males,40 - 44,Moreland - North,2552
Females,40 - 44,Moreland - North,2583
Males,40 - 44,Sunbury,1369
Females,40 - 44,Sunbury,1414
Males,40 - 44,Tullamarine - Broadmeadows,5189
Females,40 - 44,Tullamarine - Broadmeadows,5338
Males,40 - 44,Knox,5041
Females,40 - 44,Knox,5431
Males,40 - 44,Manningham - East,773
Females,40 - 44,Manningham - East,947
Males,40 - 44,Maroondah,3762
Females,40 - 44,Maroondah,4056
Males,40 - 44,Whitehorse - East,2199
Females,40 - 44,Whitehorse - East,2340
Males,40 - 44,Yarra Ranges,5051
Females,40 - 44,Yarra Ranges,5397
Males,40 - 44,Cardinia,3235
Females,40 - 44,Cardinia,3434
Males,40 - 44,Casey - North,4514
Females,40 - 44,Casey - North,4794
Males,40 - 44,Casey - South,6447
Females,40 - 44,Casey - South,6225
Males,40 - 44,Dandenong,6050
Females,40 - 44,Dandenong,5816
Males,40 - 44,Monash,5445
Females,40 - 44,Monash,5959
Males,40 - 44,Brimbank,5961
Females,40 - 44,Brimbank,6329
Males,40 - 44,Hobsons Bay,3143
Females,40 - 44,Hobsons Bay,3323
Males,40 - 44,Maribyrnong,3164
Females,40 - 44,Maribyrnong,3165
Males,40 - 44,Melton - Bacchus Marsh,6185
Females,40 - 44,Melton - Bacchus Marsh,6255
Males,40 - 44,Wyndham,8416
Females,40 - 44,Wyndham,7977
Males,40 - 44,Frankston,4691
Females,40 - 44,Frankston,4806
Males,40 - 44,Mornington Peninsula,4755
Females,40 - 44,Mornington Peninsula,5319
Males,40 - 44,Baw Baw,1353
Females,40 - 44,Baw Baw,1483
Males,40 - 44,Gippsland - East,1112
Females,40 - 44,Gippsland - East,1195
Males,40 - 44,Gippsland - South West,1636
Females,40 - 44,Gippsland - South West,1849
Males,40 - 44,Latrobe Valley,2019
Females,40 - 44,Latrobe Valley,2230
Males,40 - 44,Wellington,1279
Females,40 - 44,Wellington,1273
Males,40 - 44,Grampians,1598
Females,40 - 44,Grampians,1697
Males,40 - 44,Mildura,1578
Females,40 - 44,Mildura,1671
Males,40 - 44,Murray River - Swan Hill,987
Females,40 - 44,Murray River - Swan Hill,1001
Males,40 - 44,Campaspe,1071
Females,40 - 44,Campaspe,1118
Males,40 - 44,Moira,791
Females,40 - 44,Moira,787
Males,40 - 44,Shepparton,2018
Females,40 - 44,Shepparton,2055
Males,40 - 44,Glenelg - Southern Grampians,1013
Females,40 - 44,Glenelg - Southern Grampians,1082
Males,40 - 44,Colac - Corangamite,1032
Females,40 - 44,Colac - Corangamite,1061
Males,40 - 44,Warrnambool,1547
Females,40 - 44,Warrnambool,1568
Males,40 - 44,Migratory - Offshore - Shipping (Vic.),0
Females,40 - 44,Migratory - Offshore - Shipping (Vic.),0
Males,40 - 44,Special Purpose Codes SA3 (Vic.),372
Females,40 - 44,Special Purpose Codes SA3 (Vic.),229
Males,45 - 49,Brunswick - Coburg,2757
Females,45 - 49,Brunswick - Coburg,2787
Males,45 - 49,Darebin - South,1947
Females,45 - 49,Darebin - South,2141
Males,45 - 49,Essendon,2326
Females,45 - 49,Essendon,2498
Males,45 - 49,Melbourne City,2560
Females,45 - 49,Melbourne City,2567
Males,45 - 49,Port Phillip,3608
Females,45 - 49,Port Phillip,3732
Males,45 - 49,Stonnington - West,1737
Females,45 - 49,Stonnington - West,1745
Males,45 - 49,Yarra,2660
Females,45 - 49,Yarra,2694
Males,45 - 49,Boroondara,5632
Females,45 - 49,Boroondara,6691
Males,45 - 49,Manningham - West,2929
Females,45 - 49,Manningham - West,3265
Males,45 - 49,Whitehorse - West,3292
Females,45 - 49,Whitehorse - West,3773
Males,45 - 49,Bayside,3907
Females,45 - 49,Bayside,4405
Males,45 - 49,Glen Eira,5027
Females,45 - 49,Glen Eira,5705
Males,45 - 49,Kingston,4407
Females,45 - 49,Kingston,4833
Males,45 - 49,Stonnington - East,1380
Females,45 - 49,Stonnington - East,1549
Males,45 - 49,Banyule,4059
Females,45 - 49,Banyule,4312
Males,45 - 49,Darebin - North,3125
Females,45 - 49,Darebin - North,3289
Males,45 - 49,Nillumbik - Kinglake,2649
Females,45 - 49,Nillumbik - Kinglake,2826
Males,45 - 49,Whittlesea - Wallan,6864
Females,45 - 49,Whittlesea - Wallan,7152
Males,45 - 49,Keilor,2157
Females,45 - 49,Keilor,2125
Males,45 - 49,Macedon Ranges,1171
Females,45 - 49,Macedon Ranges,1237
Males,45 - 49,Moreland - North,2292
Females,45 - 49,Moreland - North,2365
Males,45 - 49,Sunbury,1354
Females,45 - 49,Sunbury,1531
Males,45 - 49,Tullamarine - Broadmeadows,5227
Females,45 - 49,Tullamarine - Broadmeadows,5573
Males,45 - 49,Knox,5217
Females,45 - 49,Knox,5833
Males,45 - 49,Manningham - East,1098
Females,45 - 49,Manningham - East,1179
Males,45 - 49,Maroondah,3680
Females,45 - 49,Maroondah,3997
Males,45 - 49,Whitehorse - East,2087
Females,45 - 49,Whitehorse - East,2233
Males,45 - 49,Yarra Ranges,5268
Females,45 - 49,Yarra Ranges,5579
Males,45 - 49,Cardinia,3217
Females,45 - 49,Cardinia,3389
Males,45 - 49,Casey - North,4652
Females,45 - 49,Casey - North,4848
Males,45 - 49,Casey - South,5647
Females,45 - 49,Casey - South,5726
Males,45 - 49,Dandenong,5833
Females,45 - 49,Dandenong,5613
Males,45 - 49,Monash,5570
Females,45 - 49,Monash,6068
Males,45 - 49,Brimbank,5865
Females,45 - 49,Brimbank,6262
Males,45 - 49,Hobsons Bay,2994
Females,45 - 49,Hobsons Bay,3251
Males,45 - 49,Maribyrnong,2658
Females,45 - 49,Maribyrnong,2729
Males,45 - 49,Melton - Bacchus Marsh,5222
Females,45 - 49,Melton - Bacchus Marsh,5406
Males,45 - 49,Wyndham,7031
Females,45 - 49,Wyndham,6960
Males,45 - 49,Frankston,4729
Females,45 - 49,Frankston,4967
Males,45 - 49,Mornington Peninsula,5115
Females,45 - 49,Mornington Peninsula,5794
Males,45 - 49,Baw Baw,1524
Females,45 - 49,Baw Baw,1705
Males,45 - 49,Gippsland - East,1263
Females,45 - 49,Gippsland - East,1442
Males,45 - 49,Gippsland - South West,1951
Females,45 - 49,Gippsland - South West,2001
Males,45 - 49,Latrobe Valley,2302
Females,45 - 49,Latrobe Valley,2354
Males,45 - 49,Wellington,1312
Females,45 - 49,Wellington,1440
Males,45 - 49,Grampians,1900
Females,45 - 49,Grampians,1918
Males,45 - 49,Mildura,1732
Females,45 - 49,Mildura,1845
Males,45 - 49,Murray River - Swan Hill,1172
Females,45 - 49,Murray River - Swan Hill,1205
Males,45 - 49,Campaspe,1173
Females,45 - 49,Campaspe,1237
Males,45 - 49,Moira,895
Females,45 - 49,Moira,925
Males,45 - 49,Shepparton,2113
Females,45 - 49,Shepparton,2134
Males,45 - 49,Glenelg - Southern Grampians,1143
Females,45 - 49,Glenelg - Southern Grampians,1273
Males,45 - 49,Colac - Corangamite,1221
Females,45 - 49,Colac - Corangamite,1254
Males,45 - 49,Warrnambool,1606
Females,45 - 49,Warrnambool,1788
Males,45 - 49,Migratory - Offshore - Shipping (Vic.),6
Females,45 - 49,Migratory - Offshore - Shipping (Vic.),0
Males,45 - 49,Special Purpose Codes SA3 (Vic.),349
Females,45 - 49,Special Purpose Codes SA3 (Vic.),170
Males,50 - 54,Brunswick - Coburg,2302
Females,50 - 54,Brunswick - Coburg,2390
Males,50 - 54,Darebin - South,1517
Females,50 - 54,Darebin - South,1717
Males,50 - 54,Essendon,2057
Females,50 - 54,Essendon,2115
Males,50 - 54,Melbourne City,2281
Females,50 - 54,Melbourne City,2381
Males,50 - 54,Port Phillip,3113
Females,50 - 54,Port Phillip,3041
Males,50 - 54,Stonnington - West,1519
Females,50 - 54,Stonnington - West,1562
Males,50 - 54,Yarra,2437
Females,50 - 54,Yarra,2172
Males,50 - 54,Boroondara,5646
Females,50 - 54,Boroondara,6134
Males,50 - 54,Manningham - West,2885
Females,50 - 54,Manningham - West,3316
Males,50 - 54,Whitehorse - West,3000
Females,50 - 54,Whitehorse - West,3238
Males,50 - 54,Bayside,3579
Females,50 - 54,Bayside,3961
Males,50 - 54,Glen Eira,4506
Females,50 - 54,Glen Eira,4727
Males,50 - 54,Kingston,3898
Females,50 - 54,Kingston,4075
Males,50 - 54,Stonnington - East,1264
Females,50 - 54,Stonnington - East,1372
Males,50 - 54,Banyule,3723
Females,50 - 54,Banyule,4130
Males,50 - 54,Darebin - North,2607
Females,50 - 54,Darebin - North,2774
Males,50 - 54,Nillumbik - Kinglake,2525
Females,50 - 54,Nillumbik - Kinglake,2752
Males,50 - 54,Whittlesea - Wallan,6123
Females,50 - 54,Whittlesea - Wallan,6573
Males,50 - 54,Keilor,1797
Females,50 - 54,Keilor,2005
Males,50 - 54,Macedon Ranges,1096
Females,50 - 54,Macedon Ranges,1154
Males,50 - 54,Moreland - North,2070
Females,50 - 54,Moreland - North,2122
Males,50 - 54,Sunbury,1330
Females,50 - 54,Sunbury,1478
Males,50 - 54,Tullamarine - Broadmeadows,5110
Females,50 - 54,Tullamarine - Broadmeadows,5062
Males,50 - 54,Knox,5323
Females,50 - 54,Knox,5708
Males,50 - 54,Manningham - East,1011
Females,50 - 54,Manningham - East,1050
Males,50 - 54,Maroondah,3535
Females,50 - 54,Maroondah,3882
Males,50 - 54,Whitehorse - East,1776
Females,50 - 54,Whitehorse - East,1953
Males,50 - 54,Yarra Ranges,5203
Females,50 - 54,Yarra Ranges,5511
Males,50 - 54,Cardinia,2896
Females,50 - 54,Cardinia,3007
Males,50 - 54,Casey - North,4501
Females,50 - 54,Casey - North,4610
Males,50 - 54,Casey - South,4934
Females,50 - 54,Casey - South,4838
Males,50 - 54,Dandenong,5438
Females,50 - 54,Dandenong,5367
Males,50 - 54,Monash,5096
Females,50 - 54,Monash,5342
Males,50 - 54,Brimbank,5835
Females,50 - 54,Brimbank,5757
Males,50 - 54,Hobsons Bay,2881
Females,50 - 54,Hobsons Bay,2996
Males,50 - 54,Maribyrnong,2248
Females,50 - 54,Maribyrnong,2264
Males,50 - 54,Melton - Bacchus Marsh,4331
Females,50 - 54,Melton - Bacchus Marsh,4392
Males,50 - 54,Wyndham,5986
Females,50 - 54,Wyndham,5946
Males,50 - 54,Frankston,4398
Females,50 - 54,Frankston,4736
Males,50 - 54,Mornington Peninsula,5048
Females,50 - 54,Mornington Peninsula,5293
Males,50 - 54,Wodonga - Alpine,2447
Females,50 - 54,Wodonga - Alpine,2534
Males,50 - 54,Baw Baw,1580
Females,50 - 54,Baw Baw,1698
Males,50 - 54,Gippsland - East,1463
Females,50 - 54,Gippsland - East,1623
Males,50 - 54,Gippsland - South West,2084
Females,50 - 54,Gippsland - South West,2183
Males,50 - 54,Latrobe Valley,2411
Females,50 - 54,Latrobe Valley,2623
Males,50 - 54,Wellington,1460
Females,50 - 54,Wellington,1511
Males,50 - 54,Grampians,2095
Females,50 - 54,Grampians,2140
Males,50 - 54,Mildura,1710
Females,50 - 54,Mildura,1788
Males,50 - 54,Murray River - Swan Hill,1325
Females,50 - 54,Murray River - Swan Hill,1286
Males,50 - 54,Campaspe,1284
Females,50 - 54,Campaspe,1377
Males,50 - 54,Moira,941
