Postcode,active,cases,data_date,Suburb
3501,0,0,30/01/2021,Nichols point
3505,0,0,30/01/2021,Cabarita
3509,0,0,30/01/2021,Underbool
3512,0,0,30/01/2021,Murrayville
3515,0,4,30/01/2021,Marong
3516,0,0,30/01/2021,Bridgewater
3517,0,0,30/01/2021,Inglewood
3518,0,1,30/01/2021,Wedderburn
3521,0,0,30/01/2021,Pyalong
3522,0,1,30/01/2021,Tooborac
3523,0,8,30/01/2021,Heathcote
3525,0,0,30/01/2021,Charlton
3527,0,0,30/01/2021,Wycheproof
3529,0,0,30/01/2021,Nullawil
3533,0,0,30/01/2021,Sea lake
3537,0,1,30/01/2021,Boort
3544,0,0,30/01/2021,Ultima
3546,0,0,30/01/2021,Manangatang
3549,0,0,30/01/2021,Robinvale
3550,0,33,30/01/2021,White hills
3551,0,20,30/01/2021,Huntly
3555,0,29,30/01/2021,Kangaroo flat
3556,0,3,30/01/2021,California gully
3557,0,0,30/01/2021,Goornong
3558,0,0,30/01/2021,Elmore
3559,0,0,30/01/2021,Colbinabbin
3561,0,3,30/01/2021,Rochester
3563,0,0,30/01/2021,Lockington
3564,0,3,30/01/2021,Echuca
3566,0,0,30/01/2021,Gunbower
3567,0,0,30/01/2021,Leitchville
3568,0,0,30/01/2021,Cohuna
3570,0,0,30/01/2021,Raywood
3571,0,0,30/01/2021,Dingee
3575,0,0,30/01/2021,Pyramid hill
3579,0,2,30/01/2021,Kerang
3580,0,0,30/01/2021,Koondrook
3581,0,0,30/01/2021,Lake charm
3584,0,0,30/01/2021,Lake boga
3585,0,4,30/01/2021,Swan hill
3588,0,0,30/01/2021,Woorinen south
3590,0,0,30/01/2021,Beverford
3595,0,0,30/01/2021,Nyah west
3608,0,0,30/01/2021,Nagambie
3610,0,0,30/01/2021,Murchison
3612,0,2,30/01/2021,Rushworth
3614,0,2,30/01/2021,Toolamba
3616,0,3,30/01/2021,Tatura
3618,0,0,30/01/2021,Merrigum
3620,0,2,30/01/2021,Lancaster
3621,0,0,30/01/2021,Tongala
3623,0,0,30/01/2021,Stanhope
3624,0,1,30/01/2021,Girgarre
3629,0,3,30/01/2021,Mooroopna
3630,0,36,30/01/2021,Shepparton
3631,0,9,30/01/2021,Kialla
3632,0,0,30/01/2021,Shepparton
3633,0,0,30/01/2021,Congupna
3634,0,0,30/01/2021,Tallygaroopna
3635,0,0,30/01/2021,Wunghnu
3636,0,3,30/01/2021,Numurkah
3637,0,0,30/01/2021,Waaia
3638,0,2,30/01/2021,Nathalia
3640,0,0,30/01/2021,Katunga
3641,0,0,30/01/2021,Strathmerton
3644,0,2,30/01/2021,Cobram
3646,0,0,30/01/2021,Dookie
3647,0,0,30/01/2021,Dookie campus
